ID,ソース・種別,閉塞感カードタイトル,詳細・文脈,関連放送回
H001,アンケート投稿,書き始めた脚本、いつも途中で断念しちゃう…,第610回。創作を始めたいのに根気が続かず、最後まで書ききれずに挫折してしまう悩み。,第610回
H002,アンケート投稿,世間の「蛙化現象」の使い方、なんか違くない…？,第638回。本来の意味から離れて雑に使われている流行語に対するやり場のない違和感。,第638回
H003,アンケート投稿,東大に行った彼のために、浪人すべきか悩む…,第687回。恋愛と進路の選択で、相手に合わせるべきか自分の道を進むか葛藤する悩み。,第687回
H004,アンケート投稿,盛り上がった新企画、いつの間にか立ち消えがち…,第552回。アイデアはたくさん出るのに、実行に移されずフェードアウトしてしまうモヤモヤ。,第552回
H005,アンケート投稿,『やりたい仕事』と『向いてる仕事』の狭間で揺れる…,自分の適性と情熱のどちらを優先してキャリアを選ぶべきか悩む閉塞感。,
H006,アンケート投稿,大好きな限定商品、いつの間にか販売終了してる絶望…,無印の海老クリームパスタソースなど、愛用していたお気に入りが突如廃盤になる悲しみ。,
H007,アンケート投稿,キャリアも積みたいけど、出産のタイムリミットも迫る…,仕事にやりがいを感じつつも、年齢的なタイムリミットとライフプランに葛藤する悩み。,
H008,アンケート投稿,推しの結婚発表で、ぽっかり心に穴が空いた…,ガッキーと源ちゃんの結婚など、祝福したいけれど喪失感で何も手につかないロス状態。,
H009,アンケート投稿,仕事に熱中しすぎて、大事な人生の節目を逃してないか…？,第709回。目の前の仕事に没頭するあまり、将来の結婚や私生活を後回しにしている不安。,第709回
H010,アンケート投稿,彼氏が自分の誕生日に、母親へのプレゼントを選んでいた…,第538回。せっかくの自分の誕生日デートなのに、相手の家族愛が優先されてモヤッとする場面。,第538回
H011,年末アンケート,正社員と同じ責任・業務なのに、待遇の壁を感じる…,求められる成果や裁量は正社員と同じなのに、雇用形態の差で評価されない理不尽さ。,
H012,年末アンケート,自分は他人に歩み寄るのに、誰も自分に興味を持ってくれない…,人の好きなものを理解しようと努力しても、相手からは何も返ってこない一方通行の虚しさ。,
H013,年末アンケート,何も決まらないまま、時間だけが溶けていく不毛な会議…,結論が出ないままダラダラと続き、本来の作業時間が奪われていく職場の会議への疲弊感。,
H014,年末アンケート,親からの毎日の長電話、無下にもできず時間が削られる…,深夜の夕食も取れていない時間に実家の親から毎日電話が来て、断れずに消耗する悩み。,
H015,年末アンケート,満員電車で周囲への配慮ゼロな人に、毎日イライラする…,周囲の安全や荷物への気配りよりスマホを優先し、他者への想像力が欠如した人へのモヤモヤ。,
H016,年末アンケート,何となく生きているけど、将来がうっすら不安…,今すぐ困っているわけではないが、このままでいいのか漠然とした焦燥感が消えない日常。,
H017,年末アンケート,どれだけ頑張っても、推しのライブチケットが当たらない…,FC先行や一般発売を全部申し込んでも全落ちし、会いたい人に会えないやるせなさ。,
H018,年末アンケート,人と繋がりたいのに、いざ誘われると1人でいたくなる…,孤独は寂しいけれど人間関係の気疲れも嫌で、どっちつかずの自分に自己嫌悪する瞬間。,
H019,年末アンケート,ふとした瞬間に顔を出す、学歴コンプレックス…,日常では忘れていても、他人の経歴や会話の端々で劣等感がチクッと刺激される閉塞感。,
H020,年末アンケート,SNSでインプレ稼ぎの対立煽りばかり流れてきてウンザリ…,嘘やデマ、国同士や世代間の分断を煽る投稿がタイムラインを埋め尽くす不快感。,
H021,年末アンケート,自分の限界なのか、まだ伸び代があるのか見極めがつかない…,努力を続けるべきか、引き際を見極めるべきか、自分の現在地が分からなくなる葛藤。,
H022,年末アンケート,20代半ば、仕事も恋愛もこのままでいいのか焦る…,結婚相手探しやキャリアアップなど、人生の選択肢の多さに圧倒されて立ちすくむ閉塞感。,
H023,年末アンケート,「店員にタメ口を使う客」を見ると猛烈にモヤッとする…,サービスを提供する側に対して、年下や学生だからと横柄な態度を取る客への理不尽感。,
H024,年末アンケート,PCで秒で終わる作業を『手書きで紙出力しろ』と言われる苦痛…,所属1年目で文句も言えず、明らかに非効率な旧態依然のルールに従わされるフラストレーション。,
H025,年末アンケート,物価は高いし駅はダンジョンだし、日常がハードモード…,お米の値上がり、乗り換えの複雑さなど、日々の生活の小さなストレスが積み重なる閉塞感。,
H026,年末アンケート,街中の『小銭の擦れる音』が耳について落ち着かない…,バスやレジで小銭をジャラジャラ触る音が苦手で、周囲の環境音に敏感になってしまう悩み。,
H027,年末アンケート,夢を追うほど、焦りと挫折ばかり募る…,挑戦と挫折を繰り返しながら夢を追い続ける中で、出口の見えない不安に押しつぶされそうな日々。,
H028,年末アンケート,ずっと得意だったPC作業、最近なぜか意欲が湧かない…,長年頼りにされていた得意分野でモチベーションが低下し、自分の価値に疑問を感じる時。,
H029,年末アンケート,AIの進化で、自分の得意スキルが消滅しそうな危機感…,これまで積み上げてきた技術や強みが、AIの登場で一瞬で不要になるかもしれない焦り。,
H030,年末アンケート,育児優先で15年、自分のやりたいことが消えていた…,家族のために自分を後回しにして頑張り続けた結果、ふと『自分らしさ』を見失ってしまった虚無感。,
H031,年末アンケート,周りからの『結婚まだ？』プレッシャーが重い…,30代に入り周囲から結婚を急かされるが、自分自身の価値観と世間の常識のギャップに苦しむ。,
H032,カード原案 (C109),いつもの道が、なぜか遠回り…,朝の通勤路、信号や工事、ゆっくり歩く人…今日はやけに長い散歩みたいになっている。,
H033,カード原案 (C110),開けようとしたページが、見つからない…,ブラウザのタブを何度も探すけど見つからない。本棚の隙間に吸い込まれた本みたい。,
H034,カード原案 (C111),ルーティンワークで、ふと手が止まる…,エクセルに数字を打ちながら、急に『ここはどこだっけ？』と別の世界にトリップして固まる。,
H035,カード原案 (C112),『またこれか…』って、つい出ちゃう時,書類の同じ修正依頼メールが今日3回目。脳内でため息のエコーが響く。,
H036,カード原案 (C113),BGMが、急に途切れた感じ…,カフェで作業中、急に音楽が止まり空調の音だけが大きく聞こえる。心まで静まり返る瞬間。,
H037,カード原案 (C114),言いたいこと、喉元でUターン…,会議でいいアイデアが浮かぶも、タイミングを逃して引き返す。高速出口を通り過ぎた車みたい。,
H038,カード原案 (C115),頭の中、整理整頓したいなぁ…,机の上も頭の中も書類だらけ。何から手を付けるべきか迷ううちに、さらに散らかっていく。,
H039,カード原案 (C116),心のアクセル、踏み込めない…,スタートラインでエンジンはかかっているのに、ギアを入れられずに空ぶかしだけしている日。,
H040,カード原案 (C117),自分ルールに、縛られてるかも…,『メールは朝しか返信しない』…自分で決めたルールが足かせなのに、なぜか手放せない。,
H041,カード原案 (C118),解決策、検索中… (でも見つからない),Googleを5ページ目まで漁っても欲しい答えがない。出口のない迷路を歩き回っている気分。,
H042,カード原案 (C119),ドアノブに、手が届かない…,ゴール目前、あと一歩の距離がなぜか遠い。手を伸ばしても空をつかむようなもどかしさ。,
H043,カード原案 (C120),あと一歩が、なぜか重い…,メールの送信ボタンひとつ押すだけなのに、その指が鉛のように動かない。,
H044,カード原案 (C121),予定表の、空白が怖い…,来週のスケジュールに真っ白なページ。解放感よりも、じわじわ広がる不安。,
H045,カード原案 (C122),自分の中の、信号がずっと赤…,やるべきことが目の前にあるのに、心の交通信号が『進むな』と言い続ける。,
H046,カード原案 (C123),リセットボタン、どこだっけ…,ゲームなら一発なのに、人生の設定を元に戻すコマンドは見当たらない。,
H047,カード原案 (C124),会話のテンポに、ついてけない時…,話題が次々と変わる飲み会で、自分だけ古いチャンネルのラジオを聴いているような感覚。,
H048,カード原案 (C125),みんなが知ってる歌、私だけ知らない…,カラオケで突然始まった大合唱。口パクでごまかしながら、孤島に取り残された気分。,
H049,カード原案 (C126),窓の外だけ、時間が進んでる感じ…,自分の机の上は朝のままなのに、外は夕暮れの色。外と中で別の速度を刻んでいる。,
H050,カード原案 (C127),自分だけ、違う場所にいるみたい…,同じ会議室にいるのに、話題や空気がまったく噛み合わない。,
H051,カード原案 (C128),SNSの『いいね』が、やけに遠い…,投稿しても反応ゼロ。砂漠に向かって声を投げたみたいな静けさ。,
H052,テストプレイお題,おすすめ動画を無限に見て、気付けば外が真っ暗…,YouTubeのおすすめ動画をダラダラ見続けて、一日が終わってしまった時の罪悪感。,
